"stock","Region1Name","Region2Name","Region3Name","Region4Name"
"TWISP_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"U_YAKIMA_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"ELOCHOMAN_H","Mid_Columbia_R_tule","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"SPRING_CR_COL","Mid_Columbia_R_tule","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"SPRING_CR_H","Mid_Columbia_R_tule","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"SPRING_CREEK_H","Mid_Columbia_R_tule","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"SPRING_CREEK_HATCHERY","Mid_Columbia_R_tule","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"COLUMBIA R UPRIVER S","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"COWEEMAN R   26.0003","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"COWLITZ R -LOWER","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"COWLITZ R @ MAYFIELD","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"COWLITZ_H_SP","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"COWLITZ_HATCHERY_SPRING","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"KALAMA R     27.0002","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"KALAMA_H_SP","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"LEWIS R      27.0168","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"LEWIS R -NF  27.0168","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"LEWIS_H_SP","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"LEWIS_R_F","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"LEWIS_R_LSU","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"LEWIS_R_SU","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"SPRING CR    29.0159","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"TOUTLE R     26.0227","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR"
"BONNEVILLE POOL","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"DESCHUTES R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"DESCHUTES_RIVER","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"DESCHUTES-F","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"HANFORD REACH","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"HANFORD REACH STOCK","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"HANFORD_REACH","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"HANFORD_REACH_","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"HOOD R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"KLICKITAT R  30.0002","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"L_DESCHUTES_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
"L_WH_SAL_H_SF","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR"
