"stock","Region1Name","Region2Name","Region3Name","Region4Name","pst_agg"
"COWLITZ","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWLITZ R    26.0002","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWLITZ R -LOWER","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWLITZ R -UPPER","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWLITZ R @ MAYFIELD","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWLITZ SALMON HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWLITZ_H_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWLITZ_R_HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"ELOCHOMAN R  25.0236","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"ELOCHOMAN_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"FALLERT CR HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"KALAMA CR HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"KALAMA FALLS HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"KALAMA_H_SP","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"KLASKANINE HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"LEWIS","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"LEWIS_LAKE","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
