"stock","Region1Name","Region2Name","Region3Name","Region4Name","id_type","pst_agg"
"MARSH_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MARSH_CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MCCALL","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MCCALL HAT","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MCCALL_HAT","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MCCALL_RIVER","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MINAM_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MINAM_CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MINAM_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"NEWSOME_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"PAHSIMEROI_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"RAPID SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"RAPID_R_H","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"RAPID_SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"RED_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"SALMON E.FORK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"SALMON_E_FORK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"SAWTOOTH_H","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"SECECH","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"SECECH_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"SECESH_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"SNAKE_S","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"TUCANNON_H","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"TUCANNON_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"TUCANNON_SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"UP_SALMON-SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"UPPER_VALLEY","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"VALLEY_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"VALLEY_CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"WENAHA","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"WENAHA_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"BLANCHARD","Alsek","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"GOAT_CR","Alsek","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"KLUKSHU","Alsek","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"KUDWAT_CR","Alsek","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"TAKHANNE","Alsek","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"NIMPKISH","ECVI","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"CRANBERRY","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"DAMDOCHAX","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"ISHKHEENICKH","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"KINCOLITH","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"KITEEN","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"KWINAGEESE","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"KWINAMASS","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"MEZIADIN","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
"OWEGEE","Nass","North/Central BC","North/Central BC","NBC","gsi","NBC_SEAK"
